pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
TOI-237 b,TOI-237,1,1,0,5.436098,1.44,2.67,4.91,0.0,3.7,388.0,3212.0,2020,38.0749
K2-237 b,K2-237,1,1,0,2.18053332,16.06246934,434.15360396,0.577,0.03,1860.0,1759.0,6180.0,2018,314.995
Kepler-284 b,Kepler-284,1,2,0,12.699149,2.24,5.65,2.76,0.0,38.366,686.0,5615.0,2014,1031.95
Kepler-654 b,Kepler-654,1,1,0,13.72465129,2.07,4.94,3.06,0.0,229.311,831.0,5865.0,2016,974.124
Kepler-199 c,Kepler-199,1,2,0,67.093408,3.25,10.6,1.7,0.0,7.885,420.0,5644.0,2014,521.054
Kepler-214 b,Kepler-214,1,2,0,15.660544,2.61,7.32,2.26,0.0,196.402,758.0,6169.0,2014,1208.44
Kepler-87 b,Kepler-87,1,2,0,114.73635,13.49,324.2,0.729,0.036,9.203,478.0,5600.0,2013,1232.9
Kepler-75 b,Kepler-75,1,1,0,8.8849116,11.77,3209.9,11.0,0.57,106.484,767.0,5200.0,2013,835.356
Kepler-74 b,Kepler-74,1,1,0,7.340711,10.76,200.22,0.88,0.0,337.682,1078.0,6000.0,2013,1177.55
Kepler-145 c,Kepler-145,1,2,0,42.882,4.32,79.4,2.58,0.11,67.193,709.0,6022.0,2013,566.85
Kepler-328 b,Kepler-328,1,2,0,34.921,2.3,28.5,7.8,0.0,57.079,602.0,6064.0,2013,2213.19
Kepler-115 c,Kepler-115,1,2,0,8.990889,2.6,7.27,2.27,0.0,209.101,960.0,5979.0,2014,623.609
Kepler-341 c,Kepler-341,1,4,0,8.01041,1.7,3.53,3.95,0.0,237.43,940.0,6012.0,2014,1047.03
Kepler-225 b,Kepler-225,1,2,0,6.738975,1.2,1.87,5.95,0.0,38.883,579.0,3682.0,2014,561.101
Kepler-871 b,Kepler-871,1,1,0,22.0459018,3.74,13.5,1.42,0.0,79.722,640.0,5993.0,2016,1976.05
Kepler-56 c,Kepler-56,1,3,0,21.40239,9.8,181.0,1.06,0.0,317.206,1087.0,4840.0,2012,912.994
XO-5 b,XO-5,1,1,0,4.1877558,12.78,378.2,1.06,0.0,397.4799,1230.0,5430.0,2008,276.211
Kepler-447 b,Kepler-447,1,1,0,7.79430132,18.49,435.41,0.4,0.123,119.039,882.0,5493.0,2015,268.041
Kepler-216 b,Kepler-216,1,2,0,7.693641,2.35,6.12,2.59,0.0,540.034,1069.0,6091.0,2014,1187.47
Kepler-259 c,Kepler-259,1,2,0,36.924931,2.7,7.75,2.16,0.0,15.054,530.0,5938.0,2014,1002.14
